ClientDBName,SnapshotDate,ModuleName,SubModuleName,InScopeCount,SubmittedCount,SubmissionRate,SubmissionsDelta
AssentDataacist,2026-01-04,EU REACH SVHC,(01/2025),4214,2309,54.8%,-3
AssentDataAristocrat,2025-02-09,EU REACH SVHC,(01/2025),727,0,0%,NULL
AssentDataAristocrat,2025-02-16,EU REACH SVHC,(01/2025),727,0,0%,0
AssentDataAristocrat,2025-02-23,EU REACH SVHC,(01/2025),740,0,0%,0
AssentDataAristocrat,2025-03-02,EU REACH SVHC,(01/2025),740,2,0.3%,2
AssentDataAristocrat,2025-03-09,EU REACH SVHC,(01/2025),740,30,4.1%,28
AssentDataAristocrat,2025-03-16,EU REACH SVHC,(01/2025),740,97,13.1%,67
AssentDataAristocrat,2025-03-23,EU REACH SVHC,(01/2025),740,97,13.1%,0
AssentDataAristocrat,2025-03-30,EU REACH SVHC,(01/2025),740,112,15.1%,15
AssentDataAristocrat,2025-04-06,EU REACH SVHC,(01/2025),740,115,15.5%,3
AssentDataAristocrat,2025-04-13,EU REACH SVHC,(01/2025),740,115,15.5%,0
AssentDataAristocrat,2025-04-20,EU REACH SVHC,(01/2025),740,117,15.8%,2
AssentDataAristocrat,2025-04-27,EU REACH SVHC,(01/2025),740,173,23.4%,56
AssentDataAristocrat,2025-05-04,EU REACH SVHC,(01/2025),740,173,23.4%,0
AssentDataAristocrat,2025-05-11,EU REACH SVHC,(01/2025),753,175,23.2%,2
AssentDataAristocrat,2025-05-18,EU REACH SVHC,(01/2025),753,255,33.9%,80
AssentDataAristocrat,2025-05-25,EU REACH SVHC,(01/2025),753,260,34.5%,5
AssentDataAristocrat,2025-06-01,EU REACH SVHC,(01/2025),753,288,38.2%,28
AssentDataAristocrat,2025-06-08,EU REACH SVHC,(01/2025),753,372,49.4%,84
AssentDataAristocrat,2025-06-15,EU REACH SVHC,(01/2025),753,379,50.3%,7
AssentDataAristocrat,2025-06-22,EU REACH SVHC,(01/2025),753,421,55.9%,42
AssentDataAristocrat,2025-06-29,EU REACH SVHC,(01/2025),753,439,58.3%,18
AssentDataAristocrat,2025-07-06,EU REACH SVHC,(01/2025),753,439,58.3%,0
AssentDataAristocrat,2025-08-10,EU REACH SVHC,(01/2025),6,6,100%,-433
AssentDataAristocrat,2025-08-17,EU REACH SVHC,(01/2025),6,6,100%,0
AssentDataAristocrat,2025-08-24,EU REACH SVHC,(01/2025),6,6,100%,0
AssentDataAristocrat,2025-08-31,EU REACH SVHC,(01/2025),6,6,100%,0
AssentDataAristocrat,2025-09-07,EU REACH SVHC,(01/2025),6,6,100%,0
AssentDataAristocrat,2025-09-14,EU REACH SVHC,(01/2025),6,6,100%,0
AssentDataAristocrat,2025-09-21,EU REACH SVHC,(01/2025),6,6,100%,0
AssentDataAristocrat,2025-09-28,EU REACH SVHC,(01/2025),6,6,100%,0
AssentDataAristocrat,2025-10-05,EU REACH SVHC,(01/2025),6,6,100%,0
AssentDataAristocrat,2025-10-12,EU REACH SVHC,(01/2025),6,6,100%,0
AssentDataAristocrat,2025-10-19,EU REACH SVHC,(01/2025),6,6,100%,0
AssentDataAristocrat,2025-10-26,EU REACH SVHC,(01/2025),6,6,100%,0
AssentDataAristocrat,2025-11-02,EU REACH SVHC,(01/2025),6,6,100%,0
AssentDataAristocrat,2025-11-09,EU REACH SVHC,(01/2025),6,6,100%,0
AssentDataAristocrat,2025-11-16,EU REACH SVHC,(01/2025),6,6,100%,0
AssentDataAristocrat,2025-11-23,EU REACH SVHC,(01/2025),6,6,100%,0
AssentDataAristocrat,2025-11-30,EU REACH SVHC,(01/2025),6,6,100%,0
AssentDataAristocrat,2025-12-07,EU REACH SVHC,(01/2025),6,6,100%,0
AssentDataAristocrat,2025-12-14,EU REACH SVHC,(01/2025),6,6,100%,0
AssentDataAristocrat,2025-12-21,EU REACH SVHC,(01/2025),7,7,100%,1
AssentDataAristocrat,2025-12-28,EU REACH SVHC,(01/2025),7,7,100%,0
AssentDataAristocrat,2026-01-04,EU REACH SVHC,(01/2025),7,7,100%,0
AssentDataAristocrat,2025-07-13,EU REACH SVHC,(06/2025),2,2,100%,NULL
AssentDataAristocrat,2025-07-20,EU REACH SVHC,(06/2025),80,80,100%,78
AssentDataAristocrat,2025-07-27,EU REACH SVHC,(06/2025),106,104,98.1%,24
AssentDataAristocrat,2025-08-03,EU REACH SVHC,(06/2025),107,105,98.1%,1
AssentDataAristocrat,2025-08-10,EU REACH SVHC,(06/2025),115,113,98.3%,8
AssentDataAristocrat,2025-08-17,EU REACH SVHC,(06/2025),114,112,98.2%,-1
AssentDataAristocrat,2025-08-24,EU REACH SVHC,(06/2025),119,117,98.3%,5
AssentDataAristocrat,2025-08-31,EU REACH SVHC,(06/2025),124,123,99.2%,6
AssentDataAristocrat,2025-09-07,EU REACH SVHC,(06/2025),124,123,99.2%,0
AssentDataAristocrat,2025-09-14,EU REACH SVHC,(06/2025),139,138,99.3%,15
AssentDataAristocrat,2025-09-21,EU REACH SVHC,(06/2025),210,209,99.5%,71
AssentDataAristocrat,2025-09-28,EU REACH SVHC,(06/2025),292,291,99.7%,82
AssentDataAristocrat,2025-10-05,EU REACH SVHC,(06/2025),292,291,99.7%,0
AssentDataAristocrat,2025-10-12,EU REACH SVHC,(06/2025),304,303,99.7%,12
AssentDataAristocrat,2025-10-19,EU REACH SVHC,(06/2025),304,303,99.7%,0
AssentDataAristocrat,2025-10-26,EU REACH SVHC,(06/2025),382,381,99.7%,78
AssentDataAristocrat,2025-11-02,EU REACH SVHC,(06/2025),383,382,99.7%,1
AssentDataAristocrat,2025-11-09,EU REACH SVHC,(06/2025),406,405,99.8%,23
AssentDataAristocrat,2025-11-16,EU REACH SVHC,(06/2025),407,406,99.8%,1
AssentDataAristocrat,2025-11-23,EU REACH SVHC,(06/2025),419,418,99.8%,12
AssentDataAristocrat,2025-11-30,EU REACH SVHC,(06/2025),449,448,99.8%,30
AssentDataAristocrat,2025-12-07,EU REACH SVHC,(06/2025),518,518,100%,70
AssentDataAristocrat,2025-12-14,EU REACH SVHC,(06/2025),518,518,100%,0
AssentDataAristocrat,2025-12-21,EU REACH SVHC,(06/2025),518,518,100%,0
AssentDataAristocrat,2025-12-28,EU REACH SVHC,(06/2025),518,518,100%,0
AssentDataAristocrat,2026-01-04,EU REACH SVHC,(06/2025),518,518,100%,0
AssentDataAristocrat,2025-07-13,TSCA Restrictions,12/2024,751,0,0%,NULL
AssentDataAristocrat,2025-07-20,TSCA Restrictions,12/2024,673,3,0.4%,3
AssentDataAristocrat,2025-07-27,TSCA Restrictions,12/2024,649,4,0.6%,1
AssentDataAristocrat,2025-08-03,TSCA Restrictions,12/2024,648,4,0.6%,0
AssentDataAristocrat,2025-08-10,TSCA Restrictions,12/2024,634,5,0.8%,1
AssentDataAristocrat,2025-08-17,TSCA Restrictions,12/2024,635,6,0.9%,1
AssentDataAristocrat,2025-08-24,TSCA Restrictions,12/2024,630,6,1%,0
AssentDataAristocrat,2025-08-31,TSCA Restrictions,12/2024,625,7,1.1%,1
AssentDataAristocrat,2025-09-07,TSCA Restrictions,12/2024,625,7,1.1%,0
AssentDataAristocrat,2025-09-14,TSCA Restrictions,12/2024,610,7,1.1%,0
AssentDataAristocrat,2025-09-21,TSCA Restrictions,12/2024,539,6,1.1%,-1
AssentDataAristocrat,2025-09-28,TSCA Restrictions,12/2024,457,6,1.3%,0
AssentDataAristocrat,2025-10-05,TSCA Restrictions,12/2024,457,6,1.3%,0
AssentDataAristocrat,2025-10-12,TSCA Restrictions,12/2024,445,6,1.3%,0
AssentDataAristocrat,2025-10-19,TSCA Restrictions,12/2024,445,6,1.3%,0
AssentDataAristocrat,2025-10-26,TSCA Restrictions,12/2024,367,8,2.2%,2
AssentDataAristocrat,2025-11-02,TSCA Restrictions,12/2024,366,9,2.5%,1
AssentDataAristocrat,2025-11-09,TSCA Restrictions,12/2024,343,9,2.6%,0
AssentDataAristocrat,2025-11-16,TSCA Restrictions,12/2024,342,9,2.6%,0
AssentDataAristocrat,2025-11-23,TSCA Restrictions,12/2024,330,9,2.7%,0
AssentDataAristocrat,2025-11-30,TSCA Restrictions,12/2024,300,9,3%,0
AssentDataAristocrat,2025-12-07,TSCA Restrictions,12/2024,231,9,3.9%,0
AssentDataAristocrat,2025-12-14,TSCA Restrictions,12/2024,231,9,3.9%,0
AssentDataAristocrat,2025-12-21,TSCA Restrictions,12/2024,230,8,3.5%,-1
AssentDataAristocrat,2025-12-28,TSCA Restrictions,12/2024,230,8,3.5%,0
AssentDataAristocrat,2026-01-04,TSCA Restrictions,12/2024,230,8,3.5%,0
AssentDataAxon,2025-02-09,EU REACH SVHC,(01/2025),1206,0,0%,NULL
AssentDataAxon,2025-02-16,EU REACH SVHC,(01/2025),1206,0,0%,0
AssentDataAxon,2025-02-23,EU REACH SVHC,(01/2025),1228,0,0%,0
AssentDataAxon,2025-03-09,EU REACH SVHC,(01/2025),59,59,100%,59
AssentDataAxon,2025-03-16,EU REACH SVHC,(01/2025),100,100,100%,41
AssentDataAxon,2025-03-23,EU REACH SVHC,(01/2025),168,168,100%,68
AssentDataAxon,2025-03-30,EU REACH SVHC,(01/2025),216,216,100%,48
AssentDataAxon,2025-04-06,EU REACH SVHC,(01/2025),296,296,100%,80
AssentDataAxon,2025-04-13,EU REACH SVHC,(01/2025),302,302,100%,6
AssentDataAxon,2025-04-20,EU REACH SVHC,(01/2025),306,306,100%,4
AssentDataAxon,2025-04-27,EU REACH SVHC,(01/2025),317,317,100%,11
AssentDataAxon,2025-05-04,EU REACH SVHC,(01/2025),351,351,100%,34
AssentDataAxon,2025-05-11,EU REACH SVHC,(01/2025),352,352,100%,1
AssentDataAxon,2025-05-18,EU REACH SVHC,(01/2025),354,354,100%,2
AssentDataAxon,2025-05-25,EU REACH SVHC,(01/2025),353,353,100%,-1
AssentDataAxon,2025-06-01,EU REACH SVHC,(01/2025),355,355,100%,2
AssentDataAxon,2025-06-08,EU REACH SVHC,(01/2025),359,359,100%,4
AssentDataAxon,2025-06-15,EU REACH SVHC,(01/2025),398,398,100%,39
AssentDataAxon,2025-06-22,EU REACH SVHC,(01/2025),403,403,100%,5
AssentDataAxon,2025-06-29,EU REACH SVHC,(01/2025),403,403,100%,0
AssentDataAxon,2025-07-06,EU REACH SVHC,(01/2025),403,403,100%,0
AssentDataAxon,2025-08-03,EU REACH SVHC,(01/2025),1,1,100%,-402
AssentDataAxon,2025-08-10,EU REACH SVHC,(01/2025),4,4,100%,3
AssentDataAxon,2025-08-17,EU REACH SVHC,(01/2025),4,4,100%,0
AssentDataAxon,2025-08-24,EU REACH SVHC,(01/2025),4,4,100%,0
AssentDataAxon,2025-08-31,EU REACH SVHC,(01/2025),4,4,100%,0
AssentDataAxon,2025-09-07,EU REACH SVHC,(01/2025),4,4,100%,0
AssentDataAxon,2025-09-14,EU REACH SVHC,(01/2025),4,4,100%,0
AssentDataAxon,2025-09-21,EU REACH SVHC,(01/2025),4,4,100%,0
AssentDataAxon,2025-09-28,EU REACH SVHC,(01/2025),4,4,100%,0
AssentDataAxon,2025-10-05,EU REACH SVHC,(01/2025),5,5,100%,1
AssentDataAxon,2025-10-12,EU REACH SVHC,(01/2025),5,5,100%,0
AssentDataAxon,2025-10-19,EU REACH SVHC,(01/2025),5,5,100%,0
AssentDataAxon,2025-10-26,EU REACH SVHC,(01/2025),5,5,100%,0
AssentDataAxon,2025-11-02,EU REACH SVHC,(01/2025),5,5,100%,0
AssentDataAxon,2025-11-09,EU REACH SVHC,(01/2025),5,5,100%,0
AssentDataAxon,2025-11-16,EU REACH SVHC,(01/2025),9,9,100%,4
AssentDataAxon,2025-11-23,EU REACH SVHC,(01/2025),9,9,100%,0
AssentDataAxon,2025-11-30,EU REACH SVHC,(01/2025),9,9,100%,0
AssentDataAxon,2025-12-07,EU REACH SVHC,(01/2025),9,9,100%,0
AssentDataAxon,2025-12-14,EU REACH SVHC,(01/2025),9,9,100%,0
AssentDataAxon,2025-12-21,EU REACH SVHC,(01/2025),9,9,100%,0
AssentDataAxon,2025-12-28,EU REACH SVHC,(01/2025),9,9,100%,0
AssentDataAxon,2026-01-04,EU REACH SVHC,(01/2025),9,9,100%,0
AssentDataAxon,2025-07-13,EU REACH SVHC,(06/2025),1227,2,0.2%,NULL
AssentDataAxon,2025-07-20,EU REACH SVHC,(06/2025),1227,2,0.2%,0
AssentDataAxon,2025-07-27,EU REACH SVHC,(06/2025),1227,28,2.3%,26
AssentDataAxon,2025-08-03,EU REACH SVHC,(06/2025),1225,47,3.8%,19
AssentDataAxon,2025-08-10,EU REACH SVHC,(06/2025),1222,47,3.8%,0
AssentDataAxon,2025-08-17,EU REACH SVHC,(06/2025),1222,79,6.5%,32
AssentDataAxon,2025-08-24,EU REACH SVHC,(06/2025),1222,202,16.5%,123
AssentDataAxon,2025-08-31,EU REACH SVHC,(06/2025),1222,228,18.7%,26
AssentDataAxon,2025-09-07,EU REACH SVHC,(06/2025),1222,242,19.8%,14
AssentDataAxon,2025-09-14,EU REACH SVHC,(06/2025),1222,301,24.6%,59
AssentDataAxon,2025-09-21,EU REACH SVHC,(06/2025),1221,302,24.7%,1
AssentDataAxon,2025-09-28,EU REACH SVHC,(06/2025),1220,309,25.3%,7
AssentDataAxon,2025-10-05,EU REACH SVHC,(06/2025),1219,310,25.4%,1
AssentDataAxon,2025-10-12,EU REACH SVHC,(06/2025),1219,314,25.8%,4
AssentDataAxon,2025-10-19,EU REACH SVHC,(06/2025),1219,323,26.5%,9
AssentDataAxon,2025-10-26,EU REACH SVHC,(06/2025),1216,333,27.4%,10
AssentDataAxon,2025-11-02,EU REACH SVHC,(06/2025),1216,336,27.6%,3
AssentDataAxon,2025-11-09,EU REACH SVHC,(06/2025),1216,347,28.5%,11
AssentDataAxon,2025-11-16,EU REACH SVHC,(06/2025),1212,366,30.2%,19
AssentDataAxon,2025-11-23,EU REACH SVHC,(06/2025),1212,366,30.2%,0
AssentDataAxon,2025-11-30,EU REACH SVHC,(06/2025),1212,366,30.2%,0
AssentDataAxon,2025-12-07,EU REACH SVHC,(06/2025),1212,369,30.4%,3
AssentDataAxon,2025-12-14,EU REACH SVHC,(06/2025),1204,370,30.7%,1
AssentDataAxon,2025-12-21,EU REACH SVHC,(06/2025),1203,384,31.9%,14
AssentDataAxon,2025-12-28,EU REACH SVHC,(06/2025),1203,384,31.9%,0
AssentDataAxon,2026-01-04,EU REACH SVHC,(06/2025),1203,384,31.9%,0
AssentDataAxon,2025-03-02,TSCA Restrictions,12/2024,1228,0,0%,NULL
AssentDataAxon,2025-03-09,TSCA Restrictions,12/2024,1169,28,2.4%,28
AssentDataAxon,2025-03-16,TSCA Restrictions,12/2024,1127,70,6.2%,42
AssentDataAxon,2025-03-23,TSCA Restrictions,12/2024,1059,76,7.2%,6
AssentDataAxon,2025-03-30,TSCA Restrictions,12/2024,1011,102,10.1%,26
AssentDataAxon,2025-04-06,TSCA Restrictions,12/2024,931,87,9.3%,-15
AssentDataAxon,2025-04-13,TSCA Restrictions,12/2024,925,90,9.7%,3
AssentDataAxon,2025-04-20,TSCA Restrictions,12/2024,921,118,12.8%,28
AssentDataAxon,2025-04-27,TSCA Restrictions,12/2024,910,118,13%,0
AssentDataAxon,2025-05-04,TSCA Restrictions,12/2024,876,139,15.9%,21
AssentDataAxon,2025-05-11,TSCA Restrictions,12/2024,875,139,15.9%,0
AssentDataAxon,2025-05-18,TSCA Restrictions,12/2024,873,162,18.6%,23
AssentDataAxon,2025-05-25,TSCA Restrictions,12/2024,874,163,18.6%,1
AssentDataAxon,2025-06-01,TSCA Restrictions,12/2024,872,163,18.7%,0
AssentDataAxon,2025-06-08,TSCA Restrictions,12/2024,868,163,18.8%,0
AssentDataAxon,2025-06-15,TSCA Restrictions,12/2024,829,151,18.2%,-12
AssentDataAxon,2025-06-22,TSCA Restrictions,12/2024,824,151,18.3%,0
AssentDataAxon,2025-06-29,TSCA Restrictions,12/2024,824,152,18.4%,1
AssentDataAxon,2025-07-06,TSCA Restrictions,12/2024,824,152,18.4%,0
AssentDataAxon,2025-08-03,TSCA Restrictions,12/2024,1,1,100%,-151
AssentDataAxon,2025-08-10,TSCA Restrictions,12/2024,1,1,100%,0
AssentDataAxon,2025-08-17,TSCA Restrictions,12/2024,1,1,100%,0
AssentDataAxon,2025-08-24,TSCA Restrictions,12/2024,1,1,100%,0
AssentDataAxon,2025-08-31,TSCA Restrictions,12/2024,1,1,100%,0
AssentDataAxon,2025-09-07,TSCA Restrictions,12/2024,1,1,100%,0
AssentDataAxon,2025-09-14,TSCA Restrictions,12/2024,1,1,100%,0
AssentDataAxon,2025-09-21,TSCA Restrictions,12/2024,2,1,50%,0
AssentDataAxon,2025-09-28,TSCA Restrictions,12/2024,2,1,50%,0
AssentDataAxon,2025-10-05,TSCA Restrictions,12/2024,2,1,50%,0
AssentDataAxon,2025-10-12,TSCA Restrictions,12/2024,2,1,50%,0
AssentDataAxon,2025-10-19,TSCA Restrictions,12/2024,2,1,50%,0
AssentDataAxon,2025-10-26,TSCA Restrictions,12/2024,5,4,80%,3
AssentDataAxon,2025-11-02,TSCA Restrictions,12/2024,5,4,80%,0
AssentDataAxon,2025-11-09,TSCA Restrictions,12/2024,5,4,80%,0
AssentDataAxon,2025-11-16,TSCA Restrictions,12/2024,5,5,100%,1
AssentDataAxon,2025-11-23,TSCA Restrictions,12/2024,5,5,100%,0
AssentDataAxon,2025-11-30,TSCA Restrictions,12/2024,5,5,100%,0
AssentDataAxon,2025-12-07,TSCA Restrictions,12/2024,5,5,100%,0
AssentDataAxon,2025-12-14,TSCA Restrictions,12/2024,13,13,100%,8
AssentDataAxon,2025-12-21,TSCA Restrictions,12/2024,14,14,100%,1
AssentDataAxon,2025-12-28,TSCA Restrictions,12/2024,14,14,100%,0
AssentDataAxon,2026-01-04,TSCA Restrictions,12/2024,14,14,100%,0
AssentDataBlackhawkIndustrial,2025-02-09,EU REACH SVHC,(01/2025),107345,0,0%,NULL
AssentDataBlackhawkIndustrial,2025-02-16,EU REACH SVHC,(01/2025),107345,0,0%,0
AssentDataBlackhawkIndustrial,2025-02-23,EU REACH SVHC,(01/2025),107345,1388,1.3%,1388
AssentDataBlackhawkIndustrial,2025-03-02,EU REACH SVHC,(01/2025),107345,1388,1.3%,0
AssentDataBlackhawkIndustrial,2025-03-09,EU REACH SVHC,(01/2025),107347,1388,1.3%,0
AssentDataBlackhawkIndustrial,2025-03-16,EU REACH SVHC,(01/2025),107352,4412,4.1%,3024
AssentDataBlackhawkIndustrial,2025-03-23,EU REACH SVHC,(01/2025),107352,4560,4.2%,148
AssentDataBlackhawkIndustrial,2025-03-30,EU REACH SVHC,(01/2025),107353,4735,4.4%,175
AssentDataBlackhawkIndustrial,2025-04-06,EU REACH SVHC,(01/2025),107353,4916,4.6%,181
AssentDataBlackhawkIndustrial,2025-04-13,EU REACH SVHC,(01/2025),107353,4949,4.6%,33
AssentDataBlackhawkIndustrial,2025-04-20,EU REACH SVHC,(01/2025),107359,4992,4.6%,43
AssentDataBlackhawkIndustrial,2025-04-27,EU REACH SVHC,(01/2025),107361,5026,4.7%,34
AssentDataBlackhawkIndustrial,2025-05-04,EU REACH SVHC,(01/2025),107363,5032,4.7%,6
AssentDataBlackhawkIndustrial,2025-05-11,EU REACH SVHC,(01/2025),107363,7647,7.1%,2615
AssentDataBlackhawkIndustrial,2025-05-18,EU REACH SVHC,(01/2025),107363,8806,8.2%,1159
AssentDataBlackhawkIndustrial,2025-05-25,EU REACH SVHC,(01/2025),107363,10401,9.7%,1595
AssentDataBlackhawkIndustrial,2025-06-01,EU REACH SVHC,(01/2025),107365,10530,9.8%,129
AssentDataBlackhawkIndustrial,2025-06-08,EU REACH SVHC,(01/2025),107366,10530,9.8%,0
AssentDataBlackhawkIndustrial,2025-06-15,EU REACH SVHC,(01/2025),107366,10530,9.8%,0
AssentDataBlackhawkIndustrial,2025-06-22,EU REACH SVHC,(01/2025),107366,10530,9.8%,0
AssentDataBlackhawkIndustrial,2025-06-29,EU REACH SVHC,(01/2025),107366,11118,10.4%,588
AssentDataBlackhawkIndustrial,2025-07-06,EU REACH SVHC,(01/2025),107366,11148,10.4%,30
AssentDataBlackhawkIndustrial,2025-07-13,EU REACH SVHC,(01/2025),11,11,100%,-11137
AssentDataBlackhawkIndustrial,2025-07-20,EU REACH SVHC,(01/2025),7258,7258,100%,7247
AssentDataBlackhawkIndustrial,2025-07-27,EU REACH SVHC,(01/2025),12125,12125,100%,4867
AssentDataBlackhawkIndustrial,2025-08-03,EU REACH SVHC,(01/2025),12132,12132,100%,7
AssentDataBlackhawkIndustrial,2025-08-10,EU REACH SVHC,(01/2025),12127,12127,100%,-5
AssentDataBlackhawkIndustrial,2025-08-17,EU REACH SVHC,(01/2025),12766,12766,100%,639
AssentDataBlackhawkIndustrial,2025-08-24,EU REACH SVHC,(01/2025),12770,12770,100%,4
AssentDataBlackhawkIndustrial,2025-08-31,EU REACH SVHC,(01/2025),12766,12766,100%,-4
AssentDataBlackhawkIndustrial,2025-09-07,EU REACH SVHC,(01/2025),16334,16334,100%,3568
AssentDataBlackhawkIndustrial,2025-09-14,EU REACH SVHC,(01/2025),16353,16353,100%,19
AssentDataBlackhawkIndustrial,2025-09-21,EU REACH SVHC,(01/2025),16390,16390,100%,37
AssentDataBlackhawkIndustrial,2025-09-28,EU REACH SVHC,(01/2025),16390,16390,100%,0
AssentDataBlackhawkIndustrial,2025-10-05,EU REACH SVHC,(01/2025),16507,16506,100%,116
AssentDataBlackhawkIndustrial,2025-10-12,EU REACH SVHC,(01/2025),18330,18330,100%,1824
AssentDataBlackhawkIndustrial,2025-10-19,EU REACH SVHC,(01/2025),18299,18296,100%,-34
AssentDataBlackhawkIndustrial,2025-10-26,EU REACH SVHC,(01/2025),18324,18324,100%,28
AssentDataBlackhawkIndustrial,2025-11-02,EU REACH SVHC,(01/2025),18282,18281,100%,-43
AssentDataBlackhawkIndustrial,2025-11-09,EU REACH SVHC,(01/2025),18409,18408,100%,127
AssentDataBlackhawkIndustrial,2025-11-16,EU REACH SVHC,(01/2025),18373,18371,100%,-37
AssentDataBlackhawkIndustrial,2025-11-23,EU REACH SVHC,(01/2025),18330,18329,100%,-42
AssentDataBlackhawkIndustrial,2025-11-30,EU REACH SVHC,(01/2025),18309,18308,100%,-21
AssentDataBlackhawkIndustrial,2025-12-07,EU REACH SVHC,(01/2025),19096,19095,100%,787
AssentDataBlackhawkIndustrial,2025-12-14,EU REACH SVHC,(01/2025),19052,19050,100%,-45
AssentDataBlackhawkIndustrial,2025-12-21,EU REACH SVHC,(01/2025),15560,15559,100%,-3491
AssentDataBlackhawkIndustrial,2025-12-28,EU REACH SVHC,(01/2025),15513,15512,100%,-47
AssentDataBlackhawkIndustrial,2026-01-04,EU REACH SVHC,(01/2025),15519,15518,100%,6
AssentDataBlackhawkIndustrial,2025-07-13,EU REACH SVHC,(06/2025),107355,0,0%,NULL
AssentDataBlackhawkIndustrial,2025-07-20,EU REACH SVHC,(06/2025),100108,400,0.4%,400
AssentDataBlackhawkIndustrial,2025-07-27,EU REACH SVHC,(06/2025),95245,400,0.4%,0
AssentDataBlackhawkIndustrial,2025-08-03,EU REACH SVHC,(06/2025),95241,413,0.4%,13
AssentDataBlackhawkIndustrial,2025-08-10,EU REACH SVHC,(06/2025),95246,6198,6.5%,5785
AssentDataBlackhawkIndustrial,2025-08-17,EU REACH SVHC,(06/2025),94607,6295,6.7%,97
AssentDataBlackhawkIndustrial,2025-08-24,EU REACH SVHC,(06/2025),94603,6295,6.7%,0
